"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"PLEMONS-STINNETT-PHILLIPS CISD","117904","Spring 2023","8","34","1890","6","18","28","82","20","59","9","26","","","","","","","","","",""
"POINT ISABEL ISD","031909","Spring 2025","3","116","1448","33","28","83","72","53","46","16","14","6","1489","1","17","5","83","4","67","2","33"
"POINT ISABEL ISD","031909","Spring 2025","5","126","1628","25","20","101","80","59","47","15","12","3","","","","","","","","",""
"POINT ISABEL ISD","031909","Spring 2025","8","131","1779","64","49","67","51","25","19","8","6","","","","","","","","","",""
"POINT ISABEL ISD","031909","Spring 2024","3","105","1450","27","26","78","74","40","38","12","11","9","1442","2","22","7","78","4","44","0","0"
"POINT ISABEL ISD","031909","Spring 2024","5","109","1648","20","18","89","82","53","49","20","18","5","1475","2","40","3","60","0","0","0","0"
"POINT ISABEL ISD","031909","Spring 2024","8","132","1800","55","42","77","58","34","26","5","4","","","","","","","","","",""
"POINT ISABEL ISD","031909","Spring 2023","3","129","1434","34","26","95","74","41","32","14","11","3","","","","","","","","",""
"POINT ISABEL ISD","031909","Spring 2023","5","147","1636","17","12","130","88","71","48","15","10","2","","","","","","","","",""
"POINT ISABEL ISD","031909","Spring 2023","8","130","1789","48","37","82","63","24","18","9","7","","","","","","","","","",""
"PONDER ISD","061906","Spring 2025","3","113","1438","39","35","74","65","41","36","21","19","0","","","","","","","","",""
"PONDER ISD","061906","Spring 2025","5","140","1573","57","41","83","59","41","29","16","11","2","","","","","","","","",""
"PONDER ISD","061906","Spring 2025","8","102","1891","20","20","82","80","58","57","21","21","","","","","","","","","",""
"PONDER ISD","061906","Spring 2024","3","123","1427","42","34","81","66","40","33","11","9","0","","","","","","","","",""
"PONDER ISD","061906","Spring 2024","5","139","1589","42","30","97","70","49","35","11","8","2","","","","","","","","",""
"PONDER ISD","061906","Spring 2024","8","110","1899","8","7","102","93","71","65","19","17","","","","","","","","","",""
"PONDER ISD","061906","Spring 2023","3","132","1431","41","31","91","69","54","41","13","10","0","","","","","","","","",""
"PONDER ISD","061906","Spring 2023","5","104","1608","23","22","81","78","41","39","12","12","1","","","","","","","","",""
"PONDER ISD","061906","Spring 2023","8","105","1930","8","8","97","92","79","75","32","30","","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2025","3","67","1435","20","30","47","70","23","34","6","9","0","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2025","5","68","1601","19","28","49","72","28","41","10","15","1","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2025","8","57","1751","28","49","29","51","8","14","0","0","","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2024","3","54","1451","17","31","37","69","22","41","11","20","0","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2024","5","54","1677","7","13","47","87","35","65","10","19","0","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2024","8","45","1801","18","40","27","60","8","18","3","7","","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2023","3","61","1471","10","16","51","84","31","51","11","18","1","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2023","5","57","1581","23","40","34","60","18","32","6","11","0","","","","","","","","",""
"POOLVILLE ISD","184901","Spring 2023","8","68","1874","9","13","59","87","39","57","14","21","","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2025","3","45","1489","5","11","40","89","20","44","8","18","0","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2025","5","44","1608","12","27","32","73","17","39","7","16","0","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2025","8","21","1827","7","33","14","67","8","38","1","5","","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2024","3","34","1509","4","12","30","88","21","62","8","24","0","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2024","5","38","1707","4","11","34","89","28","74","10","26","0","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2024","8","29","1791","7","24","22","76","4","14","0","0","","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2023","3","36","1487","5","14","31","86","18","50","8","22","0","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2023","5","30","1678","1","3","29","97","18","60","6","20","0","","","","","","","","",""
"PORT ARANSAS ISD","178908","Spring 2023","8","19","1831","3","16","16","84","6","32","1","5","","","","","","","","","",""
"PORT ARTHUR ISD","123907","Spring 2025","3","620","1370","326","53","294","47","140","23","28","5","18","1367","10","56","8","44","4","22","1","6"
"PORT ARTHUR ISD","123907","Spring 2025","5","584","1560","244","42","340","58","155","27","44","8","26","1487","18","69","8","31","4","15","0","0"
"PORT ARTHUR ISD","123907","Spring 2025","8","454","1770","244","54","210","46","97","21","21","5","","","","","","","","","",""
"PORT ARTHUR ISD","123907","Spring 2024","3","619","1395","281","45","338","55","156","25","36","6","53","1347","33","62","20","38","5","9","2","4"
"PORT ARTHUR ISD","123907","Spring 2024","5","595","1572","222","37","373","63","168","28","47","8","28","1498","18","64","10","36","1","4","1","4"
"PORT ARTHUR ISD","123907","Spring 2024","8","437","1786","205","47","232","53","103","24","21","5","","","","","","","","","",""
"PORT ARTHUR ISD","123907","Spring 2023","3","633","1388","262","41","371","59","136","21","41","6","25","1339","13","52","12","48","1","4","0","0"
"PORT ARTHUR ISD","123907","Spring 2023","5","584","1598","160","27","424","73","224","38","62","11","17","1529","8","47","9","53","3","18","2","12"
"PORT ARTHUR ISD","123907","Spring 2023","8","442","1770","218","49","224","51","89","20","11","2","","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2025","3","392","1472","96","24","296","76","186","47","77","20","0","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2025","5","404","1667","66","16","338","84","211","52","100","25","1","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2025","8","399","1862","109","27","290","73","204","51","57","14","","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2024","3","380","1443","117","31","263","69","145","38","45","12","1","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2024","5","392","1652","63","16","329","84","202","52","71","18","0","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2024","8","437","1850","116","27","321","73","193","44","49","11","","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2023","3","385","1447","102","26","283","74","155","40","61","16","0","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2023","5","369","1665","38","10","331","90","213","58","74","20","2","","","","","","","","",""
"PORT NECHES-GROVES ISD","123908","Spring 2023","8","415","1867","78","19","337","81","209","50","76","18","","","","","","","","","",""
"POST ISD","085902","Spring 2025","3","50","1437","20","40","30","60","17","34","8","16","0","","","","","","","","",""
"POST ISD","085902","Spring 2025","5","42","1621","15","36","27","64","17","40","7","17","3","","","","","","","","",""
"POST ISD","085902","Spring 2025","8","52","1752","29","56","23","44","5","10","2","4","","","","","","","","","",""
"POST ISD","085902","Spring 2024","3","44","1377","20","45","24","55","9","20","1","2","0","","","","","","","","",""
"POST ISD","085902","Spring 2024","5","39","1499","25","64","14","36","1","3","0","0","1","","","","","","","","",""
"POST ISD","085902","Spring 2024","8","48","1789","17","35","31","65","9","19","2","4","","","","","","","","","",""
"POST ISD","085902","Spring 2023","3","46","1488","8","17","38","83","26","57","12","26","0","","","","","","","","",""
"POST ISD","085902","Spring 2023","5","49","1547","19","39","30","61","7","14","1","2","0","","","","","","","","",""
"POST ISD","085902","Spring 2023","8","71","1790","30","42","41","58","18","25","4","6","","","","","","","","","",""
"POTEET ISD","007906","Spring 2025","3","120","1399","52","43","68","57","39","33","12","10","1","","","","","","","","",""
"POTEET ISD","007906","Spring 2025","5","128","1587","45","35","83","65","43","34","13","10","1","","","","","","","","",""
"POTEET ISD","007906","Spring 2025","8","127","1768","63","50","64","50","18","14","4","3","","","","","","","","","",""
"POTEET ISD","007906","Spring 2024","3","118","1380","55","47","63","53","25","21","6","5","12","1430","3","25","9","75","4","33","0","0"
"POTEET ISD","007906","Spring 2024","5","126","1539","63","50","63","50","28","22","8","6","7","1643","1","14","6","86","4","57","0","0"
"POTEET ISD","007906","Spring 2024","8","144","1749","76","53","68","47","14","10","0","0","","","","","","","","","",""
"POTEET ISD","007906","Spring 2023","3","111","1413","40","36","71","64","33","30","10","9","5","1463","1","20","4","80","3","60","0","0"
"POTEET ISD","007906","Spring 2023","5","118","1596","34","29","84","71","41","35","9","8","1","","","","","","","","",""
"POTEET ISD","007906","Spring 2023","8","119","1821","28","24","91","76","36","30","6","5","","","","","","","","","",""
"POTH ISD","247904","Spring 2025","3","72","1501","12","17","60","83","39","54","18","25","0","","","","","","","","",""
"POTH ISD","247904","Spring 2025","5","83","1732","8","10","75","90","61","73","30","36","0","","","","","","","","",""
"POTH ISD","247904","Spring 2025","8","60","1955","6","10","54","90","44","73","20","33","","","","","","","","","",""
"POTH ISD","247904","Spring 2024","3","72","1481","15","21","57","79","35","49","13","18","0","","","","","","","","",""
"POTH ISD","247904","Spring 2024","5","68","1648","13","19","55","81","36","53","14","21","0","","","","","","","","",""
"POTH ISD","247904","Spring 2024","8","43","1938","4","9","39","91","31","72","15","35","","","","","","","","","",""
"POTH ISD","247904","Spring 2023","3","81","1420","25","31","56","69","25","31","6","7","0","","","","","","","","",""
"POTH ISD","247904","Spring 2023","5","78","1684","4","5","74","95","44","56","18","23","0","","","","","","","","",""
"POTH ISD","247904","Spring 2023","8","51","1994","2","4","49","96","43","84","24","47","","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2025","3","81","1511","10","12","71","88","50","62","15","19","0","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2025","5","117","1619","32","27","85","73","49","42","19","16","0","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2025","8","117","1963","13","11","104","89","84","72","41","35","","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2024","3","123","1400","49","40","74","60","34","28","7","6","0","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2024","5","96","1716","10","10","86","90","64","67","38","40","0","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2024","8","114","1860","17","15","97","85","54","47","14","12","","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2023","3","104","1435","30","29","74","71","36","35","12","12","0","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2023","5","111","1704","9","8","102","92","77","69","34","31","0","","","","","","","","",""
"POTTSBORO ISD","091913","Spring 2023","8","110","1858","17","15","93","85","56","51","10","9","","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2025","3","22","1341","11","50","11","50","2","9","1","5","0","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2025","5","15","1465","13","87","2","13","1","7","0","0","0","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2025","8","23","1735","15","65","8","35","3","13","0","0","","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2024","3","25","1294","21","84","4","16","1","4","0","0","0","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2024","5","15","1433","12","80","3","20","0","0","0","0","1","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2024","8","12","1683","12","100","0","0","0","0","0","0","","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2023","3","16","1325","9","56","7","44","1","6","0","0","0","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2023","5","16","1478","10","63","6","38","0","0","0","0","0","","","","","","","","",""
"PRAIRIE LEA ISD","028906","Spring 2023","8","24","1712","20","83","4","17","0","0","0","0","","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2025","3","11","1398","7","64","4","36","4","36","2","18","0","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2025","5","11","1639","3","27","8","73","7","64","3","27","0","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2025","8","4","","","","","","","","","","","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2024","3","5","1423","1","20","4","80","1","20","0","0","0","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2024","5","5","1667","1","20","4","80","4","80","1","20","0","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2024","8","6","1887","0","0","6","100","4","67","0","0","","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2023","3","11","1391","7","64","4","36","4","36","1","9","0","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2023","5","13","1677","3","23","10","77","7","54","3","23","0","","","","","","","","",""
"PRAIRIE VALLEY ISD","169909","Spring 2023","8","8","1933","0","0","8","100","5","63","3","38","","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2025","3","82","1469","15","18","67","82","37","45","13","16","1","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2025","5","80","1635","12","15","68","85","40","50","16","20","0","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2025","8","75","1892","9","12","66","88","44","59","13","17","","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2024","3","100","1465","23","23","77","77","44","44","11","11","0","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2024","5","92","1601","25","27","67","73","39","42","9","10","0","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2024","8","86","1850","17","20","69","80","35","41","11","13","","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2023","3","74","1517","10","14","64","86","47","64","21","28","1","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2023","5","90","1668","12","13","78","87","59","66","18","20","0","","","","","","","","",""
"PRAIRILAND ISD","139912","Spring 2023","8","70","1889","7","10","63","90","39","56","14","20","","","","","","","","","",""
"PRELUDE PREPARATORY CHARTER SCHOOL","015843","Spring 2025","3","18","1428","3","17","15","83","8","44","2","11","0","","","","","","","","",""
"PRELUDE PREPARATORY CHARTER SCHOOL","015843","Spring 2025","5","17","1601","4","24","13","76","7","41","2","12","0","","","","","","","","",""
"PRELUDE PREPARATORY CHARTER SCHOOL","015843","Spring 2024","3","15","1442","5","33","10","67","8","53","1","7","0","","","","","","","","",""
"PRELUDE PREPARATORY CHARTER SCHOOL","015843","Spring 2023","3","6","1388","4","67","2","33","1","17","1","17","1","","","","","","","","",""
"PREMIER HIGH SCHOOLS","072801","Spring 2025","8","6","1784","3","50","3","50","1","17","0","0","","","","","","","","","",""
"PREMIER HIGH SCHOOLS","072801","Spring 2024","8","6","1790","2","33","4","67","1","17","0","0","","","","","","","","","",""
"PREMIER HIGH SCHOOLS","072801","Spring 2023","8","2","","","","","","","","","","","","","","","","","","",""
"PREMONT ISD","125905","Spring 2025","3","48","1443","21","44","27","56","18","38","9","19","0","","","","","","","","",""
"PREMONT ISD","125905","Spring 2025","5","62","1519","35","56","27","44","9","15","2","3","0","","","","","","","","",""
"PREMONT ISD","125905","Spring 2025","8","62","1818","27","44","35","56","18","29","6","10","","","","","","","","","",""
"PREMONT ISD","125905","Spring 2024","3","61","1401","31","51","30","49","16","26","6","10","0","","","","","","","","",""
"PREMONT ISD","125905","Spring 2024","5","43","1532","21","49","22","51","9","21","1","2","0","","","","","","","","",""
"PREMONT ISD","125905","Spring 2024","8","49","1829","21","43","28","57","14","29","5","10","","","","","","","","","",""
"PREMONT ISD","125905","Spring 2023","3","63","1474","11","17","52","83","30","48","10","16","0","","","","","","","","",""
"PREMONT ISD","125905","Spring 2023","5","50","1569","14","28","36","72","12","24","2","4","0","","","","","","","","",""
"PREMONT ISD","125905","Spring 2023","8","41","1814","10","24","31","76","12","29","3","7","","","","","","","","","",""
"PRESIDIO ISD","189902","Spring 2025","3","51","1333","35","69","16","31","3","6","2","4","15","1323","11","73","4","27","2","13","0","0"
"PRESIDIO ISD","189902","Spring 2025","5","55","1555","24","44","31","56","12","22","4","7","22","1497","14","64","8","36","4","18","0","0"
"PRESIDIO ISD","189902","Spring 2025","8","52","1874","8","15","44","85","34","65","4","8","","","","","","","","","",""
"PRESIDIO ISD","189902","Spring 2024","3","70","1353","41","59","29","41","10","14","0","0","7","1361","4","57","3","43","0","0","0","0"
"PRESIDIO ISD","189902","Spring 2024","5","58","1598","17","29","41","71","23","40","7","12","9","1560","4","44","5","56","1","11","1","11"
"PRESIDIO ISD","189902","Spring 2024","8","59","1842","17","29","42","71","25","42","6","10","","","","","","","","","",""
"PRESIDIO ISD","189902","Spring 2023","3","54","1366","32","59","22","41","9","17","1","2","8","1361","4","50","4","50","1","13","0","0"
"PRESIDIO ISD","189902","Spring 2023","5","54","1601","13","24","41","76","18","33","8","15","3","","","","","","","","",""
"PRESIDIO ISD","189902","Spring 2023","8","43","1852","6","14","37","86","25","58","2","5","","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2025","3","9","1428","4","44","5","56","3","33","1","11","0","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2025","5","5","1581","2","40","3","60","1","20","1","20","0","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2025","8","7","1794","1","14","6","86","1","14","0","0","","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2024","3","5","1447","2","40","3","60","2","40","0","0","0","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2024","5","4","","","","","","","","","","0","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2024","8","6","1940","1","17","5","83","4","67","3","50","","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2023","3","5","1429","2","40","3","60","1","20","1","20","0","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2023","5","7","1580","4","57","3","43","3","43","1","14","0","","","","","","","","",""
"PRIDDY ISD","167904","Spring 2023","8","9","1958","0","0","9","100","7","78","3","33","","","","","","","","","",""
"PRINCETON ISD","043911","Spring 2025","3","800","1436","287","36","513","64","315","39","123","15","1","","","","","","","","",""
"PRINCETON ISD","043911","Spring 2025","5","790","1622","245","31","545","69","324","41","153","19","12","1459","10","83","2","17","0","0","0","0"
"PRINCETON ISD","043911","Spring 2025","8","546","1886","132","24","414","76","288","53","120","22","","","","","","","","","",""
"PRINCETON ISD","043911","Spring 2024","3","658","1438","219","33","439","67","237","36","86","13","12","1314","10","83","2","17","0","0","0","0"
"PRINCETON ISD","043911","Spring 2024","5","653","1649","136","21","517","79","346","53","137","21","16","1472","11","69","5","31","1","6","0","0"
"PRINCETON ISD","043911","Spring 2024","8","465","1884","88","19","377","81","260","56","84","18","","","","","","","","","",""
"PRINCETON ISD","043911","Spring 2023","3","610","1449","155","25","455","75","263","43","103","17","4","","","","","","","","",""
"PRINCETON ISD","043911","Spring 2023","5","625","1647","113","18","512","82","326","52","118","19","8","1510","5","63","3","38","1","13","0","0"
"PRINCETON ISD","043911","Spring 2023","8","424","1886","73","17","351","83","237","56","84","20","","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2025","3","12","1413","5","42","7","58","4","33","0","0","0","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2025","5","8","1567","3","38","5","63","2","25","0","0","0","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2025","8","9","1907","1","11","8","89","7","78","1","11","","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2024","3","10","1447","3","30","7","70","5","50","1","10","0","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2024","5","9","1624","2","22","7","78","4","44","1","11","0","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2024","8","10","1896","1","10","9","90","7","70","2","20","","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2023","3","12","1419","3","25","9","75","4","33","0","0","0","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2023","5","8","1621","1","13","7","88","4","50","0","0","0","","","","","","","","",""
"PRINGLE-MORSE CISD","098903","Spring 2023","8","8","1967","0","0","8","100","7","88","4","50","","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2025","3","39","1364","21","54","18","46","7","18","1","3","0","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2025","5","32","1582","10","31","22","69","10","31","5","16","0","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2025","8","28","1758","11","39","17","61","3","11","0","0","","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2024","3","41","1434","11","27","30","73","15","37","3","7","0","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2024","5","32","1569","12","38","20","63","7","22","1","3","0","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2024","8","34","1750","22","65","12","35","4","12","1","3","","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2023","3","34","1401","12","35","22","65","8","24","5","15","0","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2023","5","50","1546","23","46","27","54","15","30","2","4","1","","","","","","","","",""
"PRIORITY CHARTER SCHOOLS","014803","Spring 2023","8","57","1800","24","42","33","58","15","26","6","11","","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2025","3","82","1463","16","20","66","80","36","44","12","15","0","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2025","5","72","1647","13","18","59","82","39","54","13","18","0","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2025","8","64","1805","23","36","41","64","23","36","5","8","","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2024","3","98","1423","28","29","70","71","25","26","4","4","3","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2024","5","86","1649","10","12","76","88","51","59","10","12","1","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2024","8","75","1768","32","43","43","57","7","9","0","0","","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2023","3","91","1442","17","19","74","81","32","35","6","7","1","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2023","5","98","1681","7","7","91","93","66","67","23","23","0","","","","","","","","",""
"PROGRESO ISD","108910","Spring 2023","8","99","1782","37","37","62","63","21","21","2","2","","","","","","","","","",""
"PROMESA ACADEMY CHARTER SCHOOL","015839","Spring 2025","3","54","1380","29","54","25","46","14","26","5","9","0","","","","","","","","",""
"PROMESA ACADEMY CHARTER SCHOOL","015839","Spring 2025","5","19","1543","8","42","11","58","4","21","0","0","0","","","","","","","","",""
"PROMESA ACADEMY CHARTER SCHOOL","015839","Spring 2024","3","79","1360","47","59","32","41","15","19","3","4","0","","","","","","","","",""
"PROMESA ACADEMY CHARTER SCHOOL","015839","Spring 2024","5","37","1487","25","68","12","32","5","14","0","0","0","","","","","","","","",""
"PROMESA ACADEMY CHARTER SCHOOL","015839","Spring 2023","3","44","1354","25","57","19","43","5","11","1","2","0","","","","","","","","",""
"PROSPER ISD","043912","Spring 2025","3","2625","1543","337","13","2288","87","1749","67","903","34","0","","","","","","","","",""
"PROSPER ISD","043912","Spring 2025","5","2631","1748","295","11","2336","89","1829","70","1127","43","1","","","","","","","","",""
"PROSPER ISD","043912","Spring 2025","8","1047","1859","300","29","747","71","418","40","173","17","","","","","","","","","",""
"PROSPER ISD","043912","Spring 2024","3","2290","1529","329","14","1961","86","1464","64","691","30","3","","","","","","","","",""
"PROSPER ISD","043912","Spring 2024","5","2355","1748","186","8","2169","92","1770","75","990","42","1","","","","","","","","",""
"PROSPER ISD","043912","Spring 2024","8","853","1836","262","31","591","69","305","36","105","12","","","","","","","","","",""
"PROSPER ISD","043912","Spring 2023","3","2159","1537","279","13","1880","87","1420","66","777","36","0","","","","","","","","",""
"PROSPER ISD","043912","Spring 2023","5","1995","1732","150","8","1845","92","1449","73","765","38","1","","","","","","","","",""
"PROSPER ISD","043912","Spring 2023","8","869","1852","193","22","676","78","356","41","99","11","","","","","","","","","",""
"QUANAH ISD","099903","Spring 2025","3","32","1421","8","25","24","75","9","28","0","0","0","","","","","","","","",""
"QUANAH ISD","099903","Spring 2025","5","24","1619","7","29","17","71","13","54","4","17","0","","","","","","","","",""
"QUANAH ISD","099903","Spring 2025","8","18","1765","9","50","9","50","1","6","0","0","","","","","","","","","",""
"QUANAH ISD","099903","Spring 2024","3","28","1475","2","7","26","93","14","50","4","14","0","","","","","","","","",""
"QUANAH ISD","099903","Spring 2024","5","36","1594","5","14","31","86","14","39","0","0","0","","","","","","","","",""
"QUANAH ISD","099903","Spring 2024","8","35","1768","16","46","19","54","1","3","0","0","","","","","","","","","",""
"QUANAH ISD","099903","Spring 2023","3","23","1466","7","30","16","70","10","43","4","17","0","","","","","","","","",""
"QUANAH ISD","099903","Spring 2023","5","27","1627","2","7","25","93","10","37","3","11","0","","","","","","","","",""
"QUANAH ISD","099903","Spring 2023","8","25","1816","5","20","20","80","9","36","0","0","","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2025","3","49","1483","11","22","38","78","26","53","11","22","0","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2025","5","72","1588","20","28","52","72","25","35","11","15","0","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2025","8","53","1799","23","43","30","57","16","30","3","6","","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2024","3","61","1488","15","25","46","75","33","54","14","23","0","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2024","5","54","1614","11","20","43","80","26","48","8","15","0","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2024","8","52","1786","24","46","28","54","10","19","3","6","","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2023","3","70","1509","10","14","60","86","44","63","22","31","0","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2023","5","54","1617","16","30","38","70","22","41","7","13","0","","","","","","","","",""
"QUEEN CITY ISD","034907","Spring 2023","8","55","1809","13","24","42","76","16","29","3","5","","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2025","3","199","1391","87","44","112","56","45","23","15","8","1","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2025","5","218","1557","98","45","120","55","52","24","19","9","0","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2025","8","225","1800","105","47","120","53","67","30","14","6","","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2024","3","203","1405","81","40","122","60","59","29","10","5","3","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2024","5","221","1565","87","39","134","61","56","25","11","5","2","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2024","8","195","1817","77","39","118","61","59","30","21","11","","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2023","3","209","1393","87","42","122","58","51","24","15","7","0","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2023","5","179","1624","33","18","146","82","75","42","30","17","0","","","","","","","","",""
"QUINLAN ISD","116908","Spring 2023","8","211","1840","55","26","156","74","85","40","26","12","","","","","","","","","",""
